index,cui,en,en_id,isa,same_as,Usagi_en,Usagi_match_score
1,C1412058,ABCA1,en_1,None,None,ABCA1 (ATP binding cassette subfamily A member 1) gene variant measurement (Usagi match score=1),1
2,C1412181,ADAM10,en_2,None,None,ADAM10 (ADAM metallopeptidase domain 10) gene variant measurement (Usagi match score=1),1
3,C1412246,ADORA2A,en_3,None,None,ADORA2A (adenosine A2a receptor) gene variant measurement (Usagi match score=1),1
4,C1538577,PARP1,en_4,None,None,PARP1 (poly(ADP-ribose) polymerase 1) gene variant measurement (Usagi match score=1),1
5,C1439284,AGTR1,en_5,None,None,AGTR1 (angiotensin II receptor type 1) gene variant measurement (Usagi match score=1),1
6,C1412289,APLNR,en_6,None,None,APLNR (apelin receptor) gene variant measurement (Usagi match score=1),1
7,C1412299,AIF1,en_7,None,None,AIF1 (allograft inflammatory factor 1) gene variant measurement (Usagi match score=1),1
8,C1412459,APBB1,en_8,None,None,APBB1 (amyloid beta precursor protein binding family B member 1) gene variant measurement (Usagi match score=1),1
9,C1412729,BACH1,en_9,None,None,BACH1 (BTB domain and CNC homolog 1) gene variant measurement (Usagi match score=1),1
10,C1412828,BSG,en_10,None,None,BSG (basigin (Ok blood group)) gene variant measurement (Usagi match score=1),1
11,C1413106,CAMP,en_11,None,None,CAMP (Usagi match score=1),1
12,C1366479,CASP1,en_12,None,None,CASP1 (caspase 1) gene variant measurement (Usagi match score=1),1
13,C1413244,CD8A,en_13,None,None,CD8A (CD8a molecule) gene variant measurement (Usagi match score=1),1
14,C0527903,CD86,en_14,None,None,CD86 (CD86 molecule) gene variant measurement (Usagi match score=1),1
15,C3491277,CD33,en_15,None,None,CD33 (CD33 molecule) gene variant measurement (Usagi match score=1),1
16,C0075742,CD38,en_16,None,None,CD38 (CD38 molecule) gene variant measurement (Usagi match score=1),1
17,C1539082,CD40LG,en_17,None,None,CD40LG (CD40 ligand) gene variant measurement (Usagi match score=1),1
18,C1413234,CD68,en_18,None,None,CD68 (CD68 molecule) gene variant measurement (Usagi match score=1),1
19,C1413235,CD69,en_19,None,None,CD69 (CD69 molecule) gene variant measurement (Usagi match score=1),1
20,C1824671,CD70,en_20,None,None,CD70 (CD70 molecule) gene variant measurement (Usagi match score=1),1
21,C1413290,CDK9,en_21,None,None,CDK9 (cyclin dependent kinase 9) gene variant measurement (Usagi match score=1),1
22,C1413326,CECR,en_22,None,None,Canine enteric calicivirus (Usagi match score=0.732653558),0.732653558
23,C1420151,SLC25A10,en_23,None,None,SLC25A10 (solute carrier family 25 member 10) gene variant measurement (Usagi match score=1),1
24,C1413844,CYBB,en_24,None,None,CYBB (cytochrome b-245 beta chain) gene variant measurement (Usagi match score=1),1
25,C1382176,CYP2B6,en_25,None,None,CYP2B6 (cytochrome P450 family 2 subfamily B member 6) gene variant measurement (Usagi match score=1),1
26,C1413863,CYP26A1,en_26,None,None,CYP26A1 (cytochrome P450 family 26 subfamily A member 1) gene variant measurement (Usagi match score=1),1
27,C1413925,DBT,en_27,None,None,DBT (dihydrolipoamide branched chain transacylase E2) gene variant measurement (Usagi match score=1),1
28,C1413931,ACE,en_28,None,None,ACE (Usagi match score=1),1
29,C1824729,CFD,en_29,None,None,CFD (complement factor D) gene variant measurement (Usagi match score=1),1
30,C1367701,DHPS,en_30,None,None,DHPS (deoxyhypusine synthase) gene variant measurement (Usagi match score=1),1
31,C1414083,DMD,en_31,None,None,DMD (dystrophin) gene variant measurement (Usagi match score=1),1
32,C1414141,DPP4,en_32,None,None,DPP4 (dipeptidyl peptidase 4) gene variant measurement (Usagi match score=1),1
33,C1414404,ENO2,en_33,None,None,ENO2 (enolase 2) gene variant measurement (Usagi match score=1),1
34,C1414437,EPRS,en_34,None,None,EPRS1 (glutamyl-prolyl-tRNA synthetase 1) gene variant measurement (Usagi match score=1),1
35,C1414512,FAAH,en_35,None,None,FAAH (fatty acid amide hydrolase) gene variant measurement (Usagi match score=1),1
36,C1414944,GAK,en_36,None,None,GAK (cyclin G associated kinase) gene variant measurement (Usagi match score=1),1
37,C1414953,GALNT3,en_37,None,None,GALNT3 (polypeptide N-acetylgalactosaminyltransferase 3) gene variant measurement (Usagi match score=1),1
38,C1414994,GATA3,en_38,None,None,GATA3 (GATA binding protein 3) gene variant measurement (Usagi match score=1),1
39,C0917588,GIF,en_39,None,None,CBLIF (cobalamin binding intrinsic factor) gene variant measurement (Usagi match score=1),1
40,C1415195,GPC3,en_40,None,None,GPC3 (glypican 3) gene variant measurement (Usagi match score=1),1
41,C1415275,GPX1,en_41,None,None,GPX1 (glutathione peroxidase 1) gene variant measurement (Usagi match score=1),1
42,C1415347,GTF2I,en_42,None,None,GTF2I (general transcription factor IIi) gene variant measurement (Usagi match score=1),1
43,C1415491,HCCS,en_43,None,None,HCCS (holocytochrome c synthase) gene variant measurement (Usagi match score=1),1
