index,subject_en,subject_cui,start_id,predicate_en,object_en,object_cui,end_id,source_count,research_count,AFFECTS,influence_relation,evidence_level
1,PARP1,C1538577,en_4,CAUSES,DNA Damage,C0012860,en_835,2,1,AFFECTS,Excitatory,3
2,AGTR1,C1439284,en_5,CAUSES,Pulmonary Edema,C0034063,en_1929,1,1,AFFECTS,Excitatory,3
3,AGTR1,C1439284,en_5,CAUSES,Increased blood vessel permeability,C0232374,en_3278,1,1,AFFECTS,Excitatory,3
4,APBB1,C1412459,en_8,CAUSES,Injury,C0175677,en_2968,1,1,AFFECTS,Excitatory,3
5,DHPS,C1367701,en_30,CAUSES,Increased pressure,C0520818,en_4193,1,1,AFFECTS,Excitatory,6
6,EPO gene,C1366564,en_5664,CAUSES,Macrophage activation syndrome,C1096155,en_5233,1,1,AFFECTS,Excitatory,6
7,GALNT3,C1414953,en_37,CAUSES,Neoplasm,C0027651,en_1651,1,1,AFFECTS,Excitatory,3
8,GALNT3,C1414953,en_37,CAUSES,Hyperphosphatemia,C0085681,en_2686,1,1,AFFECTS,Excitatory,3
9,IL1RAP,C1416397,en_50,CAUSES,Nephrotic Syndrome,C0027726,en_1654,1,1,AFFECTS,Excitatory,3
10,KCNH2,C1416572,en_55,CAUSES,Cardiotoxicity,C0876994,en_5060,1,1,AFFECTS,Excitatory,3
11,NELL1,C1417676,en_62,CAUSES,Virus Diseases,C0042769,en_2362,1,1,AFFECTS,Excitatory,3
12,NELL1,C1417676,en_62,CAUSES,Cytokine storm,C0919747,en_5119,1,1,AFFECTS,Excitatory,3
13,NHS,C1417725,en_64,CAUSES,Does pull,C0580846,en_4341,1,1,AFFECTS,Excitatory,3
14,P2RX7,C1418215,en_66,CAUSES,Malaria,C0024530,en_1493,1,1,AFFECTS,Excitatory,3
15,RIT2,C1419388,en_73,CAUSES,Antimicrobial activity,C1271650,en_5452,2,1,AFFECTS,Excitatory,3
16,SOD1,C1420306,en_81,CAUSES,Amyotrophic Lateral Sclerosis,C0002736,en_310,1,1,AFFECTS,Excitatory,3
17,SREBF1,C1420398,en_82,CAUSES,Syndrome,C0039082,en_2197,1,1,AFFECTS,Excitatory,3
18,VEGFA,C1823619,en_89,CAUSES,Brain Injuries,C0270611,en_3552,1,1,AFFECTS,Excitatory,3
19,VEGFA,C1823619,en_89,CAUSES,Endothelial dysfunction,C0856169,en_4968,1,1,AFFECTS,Excitatory,3
20,OGT,C1417945,en_94,CAUSES,Insulin Resistance,C0021655,en_1325,1,1,AFFECTS,Excitatory,3
21,APOL1,C1412485,en_95,CAUSES,Injury,C0175677,en_2968,1,1,AFFECTS,Excitatory,3
22,SPINT2,C1420362,en_108,CAUSES,Immune response,C0301872,en_3696,1,1,AFFECTS,Excitatory,3
23,SETD2,C1822686,en_128,CAUSES,Up-Regulation (Physiology),C0041904,en_2313,1,1,AFFECTS,Excitatory,3
24,TLR7 gene,C1336639,en_5634,CAUSES,Low Level,C4321351,en_6342,1,1,AFFECTS,Excitatory,6
25,TET2,C1825692,en_139,CAUSES,Clonal Expansion,C1516670,en_5861,1,1,AFFECTS,Excitatory,3
26,ACE2,C1422064,en_5723,CAUSES,Breast Feeding,C0006147,en_512,1,1,AFFECTS,Excitatory,3
27,ACE2,C1422064,en_5723,CAUSES,Complication,C0009566,en_697,2,1,AFFECTS,Excitatory,3
28,ACE2,C1422064,en_5723,CAUSES,Diabetes,C0011847,en_797,1,1,AFFECTS,Excitatory,3
29,ACE2,C1422064,en_5723,CAUSES,Disease,C0012634,en_826,1,1,AFFECTS,Excitatory,3
30,ACE2,C1422064,en_5723,CAUSES,Down-Regulation,C0013081,en_844,1,1,AFFECTS,Excitatory,3
31,ACE2,C1422064,en_5723,CAUSES,Myocarditis,C0027059,en_1627,1,1,AFFECTS,Excitatory,3
32,ACE2,C1422064,en_5723,CAUSES,Obesity,C0028754,en_1699,1,1,AFFECTS,Excitatory,3
33,ACE2,C1422064,en_5723,CAUSES,Pneumonia,C0032285,en_1833,3,3,AFFECTS,Excitatory,9
34,ACE2,C1422064,en_5723,CAUSES,Pregnancy,C0032961,en_1872,1,1,AFFECTS,Excitatory,3
35,ACE2,C1422064,en_5723,CAUSES,Pulmonary Fibrosis,C0034069,en_1932,1,1,AFFECTS,Excitatory,3
36,ACE2,C1422064,en_5723,CAUSES,Syndrome,C0039082,en_2197,1,1,AFFECTS,Excitatory,3
37,ACE2,C1422064,en_5723,CAUSES,Injury,C0175677,en_2968,2,1,AFFECTS,Excitatory,3
38,ACE2,C1422064,en_5723,CAUSES,Coronavirus Infections,C0206750,en_3176,1,1,AFFECTS,Excitatory,3
39,ACE2,C1422064,en_5723,CAUSES,Violent,C0242151,en_3394,1,1,AFFECTS,Excitatory,3
40,ACE2,C1422064,en_5723,CAUSES,Myocardial dysfunction,C0340515,en_3816,2,1,AFFECTS,Excitatory,3
41,IFIH1,C1537399,en_147,CAUSES,Aicardi's syndrome,C0175713,en_2969,1,1,AFFECTS,Excitatory,3
42,C16orf58,C1824415,en_149,CAUSES,Stress,C0038435,en_2165,1,1,AFFECTS,Excitatory,3
43,MAP1LC3A,C1417005,en_153,CAUSES,Vesicle,C0333262,en_3759,1,1,AFFECTS,Excitatory,3
44,SCGB3A2,C1425493,en_160,CAUSES,Neoplasm,C0027651,en_1651,1,1,AFFECTS,Excitatory,3
45,NEAT1,C2681866,en_164,CAUSES,Inflammation,C0021368,en_1307,1,1,AFFECTS,Excitatory,3
46,NIPAL4,C1836267,en_167,CAUSES,Ichthyoses,C0020757,en_1257,1,1,AFFECTS,Excitatory,3
